NO;LOKASYON;TARİH;KULLANILAN  ARAÇ;BİLGİ; KOOORDİNAT;OSMANLI TOPRAĞI OLAN YERLER;;;;;;;;;;;;;;;;
57;Arques Şatosu;11.05.1885;Bisiklet;Sabah güneş ışığıyla birlikte muhteşem bir görüntüye kavuşuyoruz ve biz güzel Arques Vadisi’nde hızla ilerlerken ötücü kuşların şarkıları duyuluyor. Yollar bisiklet sürmek için tek kelimeyle mükemmel… Arques Şatosu’nun portrelik kalıntılarına ulaştıktan sonra durup Normandiya sarmaşığının kalenin geçmişte kalan ihtişamını… süslediğini seyrediyoruz. Vadideki manzara gerçekten hoş… Normandiya’daki yollar çok daha güzel ve Arques Vadisi’ndeki manzara gerçekten hoş. Bu yolların hiçbir yerinde tek bir taş. tekerlek izi veya çöküntü alanı yok. Yüzeylerinin düzgünlüğü yüzünden bilardo masasına benzetilse abartı sayılmaz…;49.87679371962599,1.127097504441539;-;;;;;;;;;;;;;;;;
58;Rouen;11.05.1885;Bisiklet;Saat 4’te Rouen’e ulaşınca. bay Parkinson bana ünlü Rouen Katedrali’ni. Adalet Sarayı’nı ve ben ziyaret etmek isteyince Ortaçağ dönemlerinden kalma diğer eski örnekleri gösteriyor. Kalıp tarihi Seine Nehri’nin mırıldanan suları eşliğinde onunla akşam yemeği yedikten sonra bon voyage (iyi yolculuklar) dileyip yüzünü güneye çeviriyor ve beni sonunda yabancıların arasında bir yabancı olarak bırakıyor…;49.44352605856244,1.098414307028164;-;;;;;;;;;;;;;;;;
59;Mantes Kasaba;13.05.1885;Bisiklet;Akşamın ilk saatlerinde önemli bir kasaba olan Mantes’e ulaşıyorum ve gece için iyi bir han buluyorum. Bu sabah Seine nehri kıyısında Mantes’in ana caddesinde sırayla pazarcı kadınlar… sütü içeren değişik uzunluktaki hafif. kar tanesi gibi görünen iplerle dizilmiş kekleri işaret edip Satıcı kadının gülümseyen ve başını epey canlı bir şekilde olumlu yönde sallıyor… Mantes’ten çıkarken yanlış yola girince kendimi Seine nehrinin kenarındaki kayıkçıların yanında buluyorum…;48.97798691317077,1.7136110440331012;-;;;;;;;;;;;;;;;;
60;Porte Maillot ;13.05.1885;Bisiklet;13 Mayıs Çarşamba günü saat 12 civarında Porte Maillot üzerinden başkente giriyorum. Şose yolun yerini şimdi asfalt yüzey alıyor. ama şehrin sınırlarından biraz içeride ‘Renard Ferres’in bisiklet deposunu’ fark ediyorum…;48.8786716480901,2.2835819223894145;-;;;;;;;;;;;;;;;;
61;Vincennes;15.05.1885;Bisiklet;Kahvaltıdan önce Porte Daumesnil’den şehri terk edip Vincennes ve Joinville’e doğru, birkaç mil ötedeki Porte’nin sessizliğiyle uyum içinde pedal çevirerek açık arazide ilerliyorum. Paris’ten sonraki 30 mil boyunca yollar Normandiya yollarından çok farklı, ancak aynı mesafedeki kırlar birbirine çok benziyor. Geçilen her milde, her fırsatta doğanın kendi inşa ettiği zümrüt yeşili duvarlar gibi her yönden araziyi saran kavak ve çınar ağaçlarıyla her iki tarafı kaplı olan yol, normallerde sıradan bir yer olan bu bölgeyi süsleyip güzelleştiriyor. Köyler Normandiya’daki köylerden çok az farklı, ancak yapılarında çoğunlukla artistik bahane ile yapılan süslemeler bulunmayan kiliseler oradaki mimari güzellikten yoksun. Keşiş görünümlü papazlar bu köylerin tipik bir özelliği.;48.847761384057776,2.4395041011169343;-;;;;;;;;;;;;;;;;
62;Vitry le Francois;18.05.1885;Bisiklet;Dolayısıyla Sezanne’den Champenoise’ye ve oradan da Vitry le Francois’ya kadar olan yaklaşık 65 kilometrelik mesafe hayal edilebilecek en güzel yollardan birini oluşturuyor. Bu bölgenin dış görünüşü Batı Iowa’nın geniş ovalarına benziyor ve yolların büyük kısmı da asfalt caddeler kadar mükemmel. Tepeler biraz yokuşlu ve iyi yollar sayesinde çoğunlukla bisiklet sürmeye elverişli. Vitry le François, güzel Marne vadisindeki eski, büyüleyici bir kasabadır. Ortaçağlarda çok güçlü bir şehir olan bu şirin yerdeki hendekler ve surlar hâlâ mükemmel durumda. Kasabaya tek giriş yolu bugün bile eskiden kalma, el sürülmemiş kaldırıma köprüler, kocaman kapılar, demir çark ve zincirlerle yapılıyor. Böylece geçmişte olduğu gibi kapılar kaldırıldığı zaman düşmanların girişi engellenebiliyor. Fakat hendekler Marne ile Rhine kanalı arasında açılan tekneler için birleştiriliyor, bu yüzden eski kaldırıma köprüler şimdilerde sürekli açık tutuluyor. Vitry le François’in doğusunda yollar kötüleşiyor…;48.72608851593286,4.585756530099496;-;;;;;;;;;;;;;;;;
63;Bar-le-Duc;19.05.1885;Bisiklet;Ornain nehri vadisinde kurulmuş oldukça önemli bir iş merkezi gibi görünüyor. Dar, verimli vadisindeki dere, yamaçlarından her sonbaharda Meuse ve Moselle bölgelerinin ünlü şaraplarının elde edildiği tepelerin arasında kıvrılarak akıp gider. Vadi gece boyunca bardaktan boşanırcasına yağan muazzam yağmur ve doluyla bereketlenmiş. Vadi tabanı boyunca doğuya doğru uzanan açık renkte, sağlam olmayan killi yolda bu sabah bisiklet binmek imkânsız. Üstelik Ornain vadisi yolu bu kadar da korunmamış. Fransa’daki Bar-le-Duc’ta daha askeri birlikler belirgin biçimde sürülüyor. Vadiden aşağı inen yolda Toul’dan Bar-le-Duc ya da daha batıdaki başka bir noktaya giden bir top bataryasıyla karşılaşıyorum. Eğer Fransız top bataryasını şaşırtmakla şeref kazanılıyorsa, ben ve bisikletim onu hak ediyoruz.;48.77482524386691,5.159936983198659;-;;;;;;;;;;;;;;;;
64;Tronville ;19.05.1885;Bisiklet;Kaygan killi yolda 11 kilometrelik düşe kalka yapılan yolculuk beni yiyecek bulma imkânını araştırmak için durduğum küçük bir köy olan Tronville’e getiriyor. Her zaman olduğu gibi, imkânın son derece umutsuz olduğunu daha sokaktan anlıyorum. Görünürdeki tek yiyecek olarak küçük kuru üzümlerle dolu kutuyu öneren kadın, şekerleme ve kuru üzüm dışında tek önerebildiği bir kutu, gofrete benzeyen kahvaltılık bisküvi. Bütün öğleden sonra devam ettiği hâlde hiç istemesem de beni Tronvil’de mümkünse yarın sabaha kadar kalacak bir yer aramaya zorluyor. Köy taş ev ve ahırların bulunduğu şekilsiz bir kümeden meydana geliyor. Sokakların en belirgin özelliği gübre ve budanmış asma yığınlarının bulunması, ancak ben gerekli sığınağı ve bunun gibi yıldan yıla geçen nadir yabancıların kullandığı diğer kalacak yerleri bulmayı başaramıyorum.;49.08463283698227,5.918975848246855;-;;;;;;;;;;;;;;;;
65;Nancy;20.05.1885;Bisiklet;Nancy Fransa’daki en sevimli şehirlerden biri olmasıyla tanınır;48.69205073911833,6.18442522400917;-;;;;;;;;;;;;;;;;
66;Luneville;20.05.1885;Bisiklet;Luneville kasabasından geçiyorum buradaki askeri gösteriş gerçekten nefes kesici. Tarlalardaki korkuluklar bile ellerindeki tahta kılıçları meydan okur gibi sallayan askeri görüntülerden oluşuyor ve yol boyunca en sık duyulan ses ormanda atış talimi yapan askeri birliklerin kullandığı mermilerin “bang, bang” sesleri.;48.5922357739457,6.492342420451656;-;;;;;;;;;;;;;;;;
67;Saarburg;22.05.1885;Bisiklet;Saarburg’da sadece 30 dakikadır dolaşıyorum ve şimdiden iki sefer kendi dilimi konuşan insanlarla karşılaştım. … Saarburg’un kenar mahallelerinde atlılarla dar yolu kapatan küstah bir yük arabacısı, önündeki atlarını geçmeme izin verecek şekilde çekmeye karşı çıkıyor ve bu yüzden bisikletimden inmek zorunda kalıyorum.;49.60513312272247,6.561947793194073;-;;;;;;;;;;;;;;;;
68;Saverne;23.05.1885;Bisiklet;Rhine vadisinin doğu sınırlarını oluşturan önümdeki sık ormanlı yükseltilerin ardındaki küçük vadiye güzellikle yerleşen bir şehir olan Saverne’ye doğru inişli çıkışlı tepelerin arasında sabahleyin ilerlerken yağmur yağıyor. Yol güzel ama engebeli ve Saverne’ye ulaşmadan önceki birkaç kilometre boyunca çam ormanları arasında ve yüksek araziden aşağı doğru dik bir şekilde inerken yılan gibi dolanıyor. … Sağda solda beliren köyleriyle vadi muhteşem güzellikte bir resim gibi yayılıyor.;48.74196178166568,7.361646490310929;-;;;;;;;;;;;;;;;;
69;Marlenheim;24.05.1885;Bisiklet;Marlenheim köyüne girince gördüğüm ilk leylek yuvasının … tam bir ciddiyetle tünemiş. Marlenheim’dan az sonra, Strasburg katedralinin geniş vadide çevredeki her şeyin üzerinden belirgin bir şekilde yükselen ünlü kulesini uzaktan görüyorum.;48.62156995970156,7.492326082888859;-;;;;;;;;;;;;;;;;
70;Oberkirch;26.05.1884;Bisiklet;Bisikletimle iyi yollarda Oberkirch köyüne gelip gece için kalmaya karar veriyorum. İlk yapılacak iş de bisikleti, üstünü kaplayan çamurdan kurtarmak. Sakar görünümlü yardımcı birkaç kez yanıma gelip hareketlerimi onaylamaz bir tavırla bana bakıyor. Hiç şüphesiz bisikleti sırf ona bahşiş vermemek için kendim yıkadığımı düşünüyor. Ev sahibi birkaç kelime İngilizce konuşabiliyor. Kel başını yukarıdaki pencereden çıkarıp, ‘bay Stevens mısınız?’ diye soruyor. ‘Yah, yah,’ cevabını veriyorum.”  Oberkirch, yolunun daha yukarıda, Kara Orman’ın (Black Forest) köknar kaplı yüksek kesimlerine doğru yöneldiği, Bench nehri vadisinin dar ve etkileyici girişindeki sevimli bir kasaba. Vadiden birkaç mil yukarı çıkınca gördüğüm en sevimli çevrenin ortasına kurulmuş küçük bir köyden geçiyorum. Açık renkteki bitkilerle karışmış sık, sert bakışlı köknarlar Knibis dağlarının çevreleyen tepeleri taçlandırır. Bağlar, küçük çavdar tarlaları ve yeşil çayırlar tabanındaki çiçek açan meyve bahçelerinin arasına dağılmış şirin kulübelerin sıkıştığı alçak yamaçları renk renk güzelliklerle kaplar. Dağdaki çobanların kavalları, kuşların ötüşleri ve hızlı akan derelerin keyifli müzikleri sabah havasını ezgilerle dolduruyor.;48.53356276639223,8.07678047099494;-;;;;;;;;;;;;;;;;
71;Fruedenstadt;27.05.1885;Bisiklet;Öğle vakti Freudenstadt’a ulaştığımda dağa tırmanma, zindelik katan hava ve çam kokusu oteldeki insanlara bisiklet binmenin iştah üzerindeki etkisine dair etkileyici bir ders vermemi sağlıyor.;48.464476803113975,8.417997007833572;-;;;;;;;;;;;;;;;;
72;Rothenburg;30.05.1885;Bisiklet;Saat 6’da ‘kurt gibi acıkmış bir halde’ eski, sakin bir kasaba olan Rothenburg’a ulaşıyorum ve kendimi otele atıp yemek ısmarlıyorum. … Rothenburg’lu ‘duman karışımı büyük birini’ geçiriyor. … Aradan 10 dakika sonra küçük bir dilim alabiliyorum. … Rothenburg’lu ‘duman karışımı büyük birini’ geçiriyor.;49.38018609205686,10.186732881097615;-;;;;;;;;;;;;;;;;
73;Blaubeuren;31.05.1885;Bisiklet;"Pazar sabahı Tuna nehrinin kollarından birinin aktığı çok güzel bir vadide bisikletimle ilerlerken Blaubeuren’den gelen çan sesleriyle uyum içinde pedal çeviriyorum.”
“Blaubeuren’in doğusunda yolum Tuna nehrinin kaynağından gelen dalga dalga suların yanındaki dar, kıvrımlı bir vadiyi takip ediyor.";48.40730514915707,9.783552459146325;-;;;;;;;;;;;;;;;;
74;Ulm;31.05.1885;Bisiklet;"18 kilometrelik değişken yol beni sıkı korunan ve fırtına olmasa dün ulaşmış olacağım Ulm şehrine getiriyor.”
“Şimdi dünyevi ihtiyaçların büyük bira ve sosis tüketiminin gerçekleştirildiği bölgeden geçiyorum. Meyve bahçeleri manzaranın belirgin bir parçası ve neredeyse her pencerede uzun sosis zincirleri sallanıyor. Whitsuntide festivallerinin kutlamalarında muhtemelen çok daha fazla olsa da bugün tüketildiğini gördüğüm yiyecek miktarı gerçekten şaşırtıcı.";48.401084891052605,9.987607205409901;-;;;;;;;;;;;;;;;;
75;Augsburg;01.06.1885;Bisiklet;"Akşama doğru Augsburg civarına yaklaşıp neşe içinde Augsburg’lu kalabalıkların toplandığı, köpüklü biralardan içtiği, sosis yediği ve askeri bandolardan ilham aldığı meyhanelerin arasından geçerken Lech vadisindeki müzik sesleri duyuluyor. Yüzlerce asker, Augsburg’lu sivil ve çevreden gelen köylünün arasına oturup onlarla birlikte büyük bir bardak dolu Augsburg birasının tadını çıkarırken… Beni Hotel Mohrenkopf’a götürüyor ve Augsburg’da kalmak istediğim süre boyunca kendimi kulübün bir misafiri gibi düşünmemi istiyorlar.
Şehirden dışarı giden her 10 Augsburg’ludan birinin elinde akordeon var.";48.37054633879901,10.897785299590613;-;;;;;;;;;;;;;;;;
76;Swabian;-;Bisiklet;"Şu anda Swabian bölgesindeyim ve bayram elbiselerinin belirgin bir kısmını oluşturan bu düğmeler gümüş paralardan yapılmış ve aslında aile mirası olduğu için de yüzyıllar boyunca nesilden nesle aktarılmış. Swabish köylü kadınlarının giysileri son derece portrelik; çok güzel giysileri ve pirinç, gümüş veya altından yapılmış muhteşem başlıkları (Swabish köylü kadının şapkası) da erkeklerin düğmeleri gibi efsanevi. Şimdi yolum sık köknar ormanları arasından geçiyor ve burada 50 kadar köylünün bulunduğu bir grubun yanından geçiyorum. Yolda yürürken erkekler ve kadınlar garip bir uyum içinde sırayla ilahiler söylüyor.";48.30060264388934,9.35463146544286;-;;;;;;;;;;;;;;;;
77;Dachau;-;Bisiklet;Öğleye doğru antik bir kasaba olan Dachau’ya ulaşıp otele yerleştikten sonra genel görüntüsü uyumlu birine benzeyen ve geçen haftanın gazetesinden yapılmış kağıt yaka takan bir adam gelip çok iyi bir İngilizceyle konuşuyor.;48.26315584177276,11.434149909981905;-;;;;;;;;;;;;;;;;
78;Münih ;-;Bisiklet;"Öğle vaktinden bir saat sonra Isar nehri vadisinden Münih’e doğru giden düz yoldaki gevşek taşların arasında çalışkan bir şekilde ilerliyorum. Münih’in gümrük binası, daha az tarihi bir eser bulunan ancak son derece ilginç ve önemli bir kalıntı olarak dikkatle korunduğuna emin olduğum eski, görkemli bir kilise… “Burası da ticari kutular ve çuvallarla yığılmış.
Eski sokaklarda beraber dolaşırken büyük bir heyesele, ‘Münih dünyadaki en büyük sanat merkezi, sanat açısından dünyanın merkeziidir,’ diyor bay Buscher. Münih’te gece boyunca yağmur yağıyor ve ertesi sabah yol, birkaç kilometre boyunca bisiklet binmenin imkansız olduğu korkunç bir taş harabesi ve çamurla dolmuş tekerlek izlerine dönüyor.";48.135127246370196,11.581989117381946;-;;;;;;;;;;;;;;;;
79;Muhldorf;-;Bisiklet;"Muhldorf ilginç bir kasaba. Ana caddenin yaya kaldırımları bir uçtan diğerine kadar modern yapılara da benzemeyen uzun kemerlerin altına yapılmış.
Ancak birkaç yüzyıllık kemerli geçitler oldukları ve birkaç katlı binaların ön taraftaki odalarını destekledikleri şüphe götürmez.";48.246115386923286,12.522978109414082;-;;;;;;;;;;;;;;;;
80;Inn Nehri;-;Bisiklet;İnn nehri ılık, zengin bir vadide akıyor. Hasat mevsimi başlamış ve samanlar tüm hızıyla yapılıyor. Çıplak ayaklı Maud Mullerların (Şair Wittier’in  Maud Muller şiirindeki kadın kahramanı) erkeklerle yan yana tırpan sallayıp saman biçtiği ve tırmıkla topladığı tarlalardan sabahın taze havasında hoş bir koku yayılıyor.;47.786975713461906,12.123080639561033;-;;;;;;;;;;;;;;;;
81;Simbach Kasabası;-;Bisiklet;Simbach kasabasında büyük bir tahta köprü üzerinden tekrar Inn nehrini geçiyorum ve diğer tarafta da Avusturya hanedanlığının armasını taşıyan eski bir taş kemerin altından geçiyorum.;48.2675857043397,13.027353764993899;-;;;;;;;;;;;;;;;;
82;Lambach;-;Bisiklet;Bu sabah Lambach’a girerken dikkatsiz ve tam bir Avusturyalı gibi sokak ortasında bağlanmadan başıma kimse olmadan bırakılan bir yandan geçiyordum…;48.091290957797604,13.875476317693387;-;;;;;;;;;;;;;;;;
83;Strenburg Köyü;-;Bisiklet;Tepe­lerin arasında yukarı giderken Strenburg köyünde günün çok güzel bir vaktinde akşam oluyor. Doktorun İngilizceyi konuştuğu ve otelde tercümanlığımı üstlendiği Strenburg köyü hoş ve insanlarının girişken olduğu bir yer çıkıyor. Hayat dolu bir İtalyan kadını olan okuldaki bayan öğretmen kendisine sürekli olarak ‘okul müdürü’ des­e de Fransızca ev Almancaya ek olarak birkaç kelime İngilizce de konuşabiliyor. Aynı otelde kalıyor ve tüm akşam boyunca hayal edilebilecek en hayat dolu konuşma ve en etkileyici el kol hareketleriyle güler yüzlü muamele görüyorum. Otelin tepesinde kaba saba bir gözlemevi var ve yola çıkmadan önce bölgeyi şöyle bir bakıyorum. Manzara muhteşem, karlı zirveleri çamlarla kaplı tepelerin oluşturduğu dalgaların arasında beliren Avusturya Alpleri güneydoğuda gökyüzüne doğru yükseliyor. Kuzeye doğru ise sabah sisi arasında parlayan Tuna nehrinin aktığı sevimli vadi uzanıyor.;48.5734054255386,7.752095488112543;-;;;;;;;;;;;;;;;;
84;Viyana;31.05.1885;Bisiklet;Geceyi Neu Lengbach’ta geçirdikten sonra tepelere tırmanıp Viyana’ya doğru bozuk, pütürlü yollarda sallana sallana gidiyorum ve Pazar sabahı Avusturya başkentine öğle vaktinde ulaşıyorum. Viyana’da iki günlüğüne durmaya karar verip Salı günü şehir dışına çıkmayı planlıyorum. Viyana’daki bisiklet kulüpleri Gezginler’in merkezi Schwimmschulenstrasse isimli bir sokaktadır. Bisiklet kulübünün merkezine bir ziyarette bulunuyorum. Eğer girişimi bir gün daha erteleseydim Presburg’a kadar olan 70 kilometrelik mesafede küçük bir bisiklet grubunun bana eşlik edeceği sözünü alıyordum. Viyana’daki bisiklet kulüpleri Gezginler’in merkezi 5500 metre uzunluğunda, 2000 altın ödeyerek muhteşem görünümlü pist inşa etmişler ve bu kulüp Avusturya’daki en iyi pist olarak kabul ediliyor… Bugün Corpus Christi (Hristiyanlıkta özel bir gün) olduğu için imparator ve imparatorluğun önemli pek çok dini, sivil ve askeri kişisi tüm görkem ve ihtişamıyla geçiş yapacak. Sıradan Viyanalılar da bu kadar önemli bir olayı kaçırmak istemiyor. Diğer üç bisikletli yoldaşlarımdan ayrılıp hafif kıvrımlı ve düzgün yollardan ilerleyerek Petronelle’ye doğru hareket ediyorum. Oradan 30 kilometre uzaklıktaki Presburg’a geçiş yapacağız.;48.20806801131249,16.371322614280082;-;;;;;;;;;;;;;;;;
85;Presburg;04.06.1885;Bisiklet;Presburg’a doğru doğuya gittikçe yollar gevşek taşlar ve düzgün olmayan yüzeyler yüzünden daha bozuk ve kötü bir hale geliyor. Kutlamaların günün şerefine sokakları yeni kesilmiş çimlerle kaplanıp geçici caddelere çevrilmiş bir düzine köyden geçiyoruz. Hamburg’da 900 yıllık bir kemerin altından geçip şapkalarında yeşil meşe filizleri taşıyan Macar askerlerinin oluşturduğu sıraların arasında çim kaplı sokaklarda ilerliyoruz. Köylüler çanları çalan kilisenin etrafında toplanıyor. Doğru ilk ve tozlu Presburg’a giriyoruz. Yemekten sonra kentin Yahudi bölgesinden Presburg kalesinin bulunduğu ve ormanla kaplı kayalıkları, geniş, zengin ovalarıyla Tuna nehrinin güzel bir görüntüsünün izlenebildiği yüksek yere çıkıyoruz… Presburg’dan ayrılıp Macaristan’a geçtikten sonra yol gevşek çakıl taşına dönüşüyor. Ülkenin şimdi yaşadığı bu kurak mevsimde sürülmüş tarlada bisiklet binmeyi düşünecek gibi bir hale gelene kadar geçen her araçla taşlar karışıyor ve yerinden çıkıyor.;48.14859317257597,17.107733232053455;-;;;;;;;;;;;;;;;;
86;Macaristan;04.06.1885;Bisiklet;"Presburg’dan ayrılıp Macaristan’a geçtikten sonra yol gevşek çakıl taşına dönüşüyor. Ülkenin şimdi yaşadığı bu kurak mevsimde sürülmüş tarlada bisiklet binmeyi düşünecek gibi bir hale gelene kadar geçen her araçla taşlar karışıyor ve yerinden çıkıyor…
Macaristan uygulamada halen toprağa bağlı köleler ve soylular olan bir ülke ve yolda karşılaştığım hemen hemen her köylü daha düşük seviyesinin içgüdüsel bir kabullü olarak saygıyla şapkasına dokunuyor… Çingene gruplarıyla artık daha sık karşılaşıyorum. Buradaki çingeneler koyu tenli, parlak beyaz dişleri var ve kömür karası gözleriyle çevrelerindeki insanlardan açıkça uzaylı gibi ayrılıyorlar…";47.00000030838702,19.599973668015;-;;;;;;;;;;;;;;;;
87;Budapeşte;08.06.1885;Bisiklet;"Öğleden sonra Budapeşte’ye ulaşıyorum… Beni karşılamak üzere, İngilizceyi mükemmel konuşan ve bir İngiliz centilmeninin tüm zarif kibarlığına sahip bir Macar beyefendisi olan Bay Kosztovitz geliyor… Budapeşte’ye varışım, kulüp üyeleri arasında büyük bir heyecan yaratıyor… Burada bisikletin ulaştığı popülarite düzeyi ve sporcu ruhu, Avrupa’nın başka hiçbir şehrinde bu kadar belirgin değil… Budapeşte’de kadınlar oldukça zarif ve çekici; birçoğu olağanüstü güzellikte… Şehir, güzel sokakları ve kibar insanlarıyla birlikte, nezaketin ve canlılığın başkenti gibi görünüyor… Akşamları lambaların ışığında caddelerde yürüyen şık kadınlar… Macar halkı hem misafirperver hem de medeni… Budapeşte kadınları, Avrupa’da gördüğüm en güzel ve en cana yakın kadınlar arasında…";47.49791625984872,19.0402478434336;-;;;;;;;;;;;;;;;;
88;Duna Pentele;08.06.1885;Bisiklet;Pazartesi sabahı Budapeşte’den çıkarken dokuz bisikletli bana bir süre eşlik ediyor… Bay Philipovitz ve diğer iki üye Igali ve benimle birlikte 75 mil uzaktaki Duna Pentele’ye kadar devam ediyorlar. Burası uyuyacağımız ilk yer… Gün ortasının korkunç sıcağında Adony’de üç saat kadar duruyoruz… Akşamın ilk saatlerinde Duna Pentele’ye ulaşıp yemekten önce bir saat kadar Tuna nehrinin sularında yüzüyoruz…;46.96190478503782,18.935522574967308;-;;;;;;;;;;;;;;;;
89;Paks;09.06.1885;Bisiklet;Yol zorluklarla devam ediyor, ama Paks’ın güneyinde oldukça bozuluyor. Bu nedenle dut ağaçlarının gölgesi altındaki molalar Igali için daha sık bir olay haline geliyor.;46.60607354107939,18.854684906981777;-;;;;;;;;;;;;;;;;
90;Duna Szekeso;09.06.1885;Bisiklet;Duna Szekeso’ya, Tuna vapurları için önemli bir yer ve bu öğleden sonra bir grup gemi işçisini yemek yerlerken gözleme şansı buluyorum. Esmer, vahşi bir kalabalık görüntüsü içinde, ortadan ayrılmış ya da hiç ayrılmamış uzun saçlarıyla bütün dünyanın gemi işçilerinin giydiği gösterişli giysilerle eklenip bunlarla ulusal giysilerle içlerine karışmış bir etki oluşturuyor. 7,5 litrelik şat şeklindeki fıçıdan tatlı beyaz bir bordon şarabı içiyorlar.;46.9619044766022,18.935513704903695;-;;;;;;;;;;;;;;;;
91;Drave Nehri;10.06.1885;Bisiklet;Ertesi sabah 5’te Duna Szekeso’dan çıkıyoruz ve öğleden önce bir Yunan kolonisi olan Baranyavar’dan geçiyoruz… Tuna’nın önemli kollarından biri olan Drave nehrindeki köprüden Slovenya’nın başkenti Eszek’e geçerken apaçık yağmur habercileri güneydeki ufukta beliriyor.;46.728635946857075,12.306547547613989;-;;;;;;;;;;;;;;;;
92;Eszek;11.06.1885;Bisiklet;Eszek güçlendirilmiş bir şehir ve çok eskiden önemli bir kaleymiş. Tamamen düz bir alanda kurulduğu ve savaş taktiklerinin karşıda durup şehri daha fazla karşı gelmeyi anlamsız kılana kadar bombalamak olduğu zamanlarda, şehrin tek bir saldırıyla düşmesini önlemek fikrinden hareketle güçlendirmeleri, kazılıp duvarla kaplanan geniş hendeklerden ibaret olan şehir modern silahların ortaya çıkışından beri önemini yitirmiş.;45.554962423686796,18.69551276722096;-;;;;;;;;;;;;;;;;
93;Slovenya;14.06.1885;Bisiklet;Ertesi sabah 6'da Slovenya'nın içlerine doğru yola çıkıyoruz, ama arkadaşımın kızınca söylediği en gözde sözün normalden daha sık gerçekleşmesini sağlayan çamur, taş ve tekerlek izleriyle dolu bisiklet sürülemeyecek bir yol olduğu için bisikletlere binmedik. Yolun bir kısmında bisiklet sürmeye oldukça uygun, dar bir kenar var, ancak çok yakınındaki derin bir hendek hiç de davetkar görünmüyor ve arkadaşım tüm ısrarıma rağmen oradan gitmeye ikna olmuyor… Güneye doğru ilerlerken yerlilerin özellikle de Slovenlerin belirgin özelliklerinde daha fazla olmak üzere, dış görünüşlerinde gözle görülür bir değişiklik oldu. Doğu'nun üzerinde parlayan cömert güneş, daha sert kuzeye doğru insanları dost canlısı ve cana yakın bir mizaca kavuşturan yumuşatıcı bir etki sunuyor. Çocuksu tavırlar sergileyen Aşağı Tuna sakinlerinin hayranlığını ve alkışını kazanmak için çok küçük çabalar yeterli. ;46.060000806550356,14.650001650042551;-;;;;;;;;;;;;;;;;
94;Sarengrad;14.06.1885;Bisiklet;Slovenya'nın bu kısmında yaşayanların çoğu süslü giyime olan düşkünlükleriyle tanınan Hırvatlar. Bu güneşli Pazar sabahında köylerin arasında ilerlerken, en güzel elbiselerinin cesaretiyle etra-fımızda toplanan köylülerin oluşturduğu kalabalıklar aslında bu-güne kadar karşılaştığım her şeyin ötesinde mutlu ve portrelik bir görüntü sunuyor. Erkeklerin giysileri örgü işleri ve ipek işlemelerle kaplanmış. Bu tip süslemeler başka yerlerde utanılacak bir şey gibi düşünülür, oysa Hırvatların bakış açısında çok güzel algılanıyor. ;45.23110202729228,19.280033575565415;-;;;;;;;;;;;;;;;;
95;Peterwardein;15.06.1885;Bisiklet;Bu gece hemen karşısındaki Tuna nehrini geçen dubalı köprünün devamında Neusatz şehri bulunan, sıkı koruma altındaki Peterwardein kasabasına ulaşıyoruz… Peterwardein oldukça sıkı korunan bir yer ve Tuna nehrini tamamen kontrol eden konumda olduğu için Peterwardein kalesinin inşa edildiği tepe gibi hakim bir noktaya yerleştirildiğinde kesin-likle küçümsenmemesi gereken büyük çaplı 30 top bataryasıyla donatılmış;45.23110414638439,19.280035741630233;-;;;;;;;;;;;;;;;;
96;Fruskagora;15.06.1885;Bisiklet;Bütün sabah boyunca Fruskagora dağlarının bir burnunu aşmak için uğraşıyorduk ve çok yavaş ilerledik. Buradaki yollar genelde doğal toprak ve buna bağlı olarak da kötü, ancak Tuna'nın yeşil ormanları ile daha yeşil tarım arazilerinin muhteşem manzarası bu gereğinden fazla çabayı ödüllendiriyor. Meyveyle dolu ancak hala yeşil ağaçların olduğu erik bahçeleri bolluğuyla yamaçları kaplıyor. Aslında geniş, zengin Tuna nehri vadisinin tümü taşan bolluğun bilinciyle başını sallayıp gülümsüyor. Günler boyunca üzüm bağları, meyve bahçeleri ve umut veren buğday tarlalarının içinden ilerliyoruz. ;45.157089881473986,19.70932565624962;-;;;;;;;;;;;;;;;;
97;Semlin;16.06.1885;Bisiklet;"Tuna nehri kıyısındaki oldukça önemli bir Sloven şehri olan iki saat uzaktaki Semlin'e geliyoruz. Vapurlar iki şehir arasında düzenli olarak gidip geliyor ve Igali'nin gezgin pasaportu olmadan Sırbistan topraklarına geçiş izni alabilmesi için farklı yetkililerle bir saat uğraştıktan sonra Semlinli çılgın kalabalıklardan vapura kaçarak kurtuluyoruz. 10 dakika sonra ise bizi Belgrad'da nezaketle karşılamak için tam üniformalarıyla iskeleye kadar gelen 3 Sırp bisikletliyle işaretleşiyoruz. Sadece Belgrad anlaşmasından beri bağımsız olan küçük Sırp Krallığı'nın başkenti Belgrad'da öğrendiğim gibi, Ocak 1885'te bir bisiklet kulübünün kurulduğunu ve 12 tanesi kendine ait bisiklet sahibi olan 30 üyelerinin bulunduğunu öğrenince pek çok okuyucum hiç şüphesiz çok şaşıracak. Kulüplerinin adı Fransızca ""La Societe Velocipedique Serbe"" sadece slav alfabesiyle yazılabiliyor. ";52.65042377850325,12.383992776823996;-;;;;;;;;;;;;;;;;
